Nummer;Name;Logo;Bild;Info;Tags
1;Maschin.io;logo1.jpg;3dprint.jpg;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
2;Aaron AI;logo2.jpg;thumb_1.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
3;Artiminds;logo2.jpg;thumb_2.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
4;Aerospace;logo3.jpg;thumb_3.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
5;Betterguards Technology;logo4.jpg;thumb_4.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
6;FRANKA EMIKA GMBH;logo1.jpg;thumb_4.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
7;inveox GmbH;logo1.jpg;thumb_4.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
8;mm1;logo1.jpg;thumb_4.png;Als Hightech-Startup haben wir uns auf die Entwicklung und Vermarktung revolutionärer Robotersysteme spezialisiert und bieten eine innovative, flexible und dynamisches Zusammenarbeit. Wir sind geleitet von der Vision, Roboter zu einem Bedarfsartikel zu machen, der den Menschen in den Mittelpunkt der Entwicklung stellt und damit sowohl ein intuitives Kundenerlebnis schafft, als auch Automatisierung mit modernen Internet basierten Technologien verbindet.;"Robotic; AI; IoT; Sensorik"
;;;;;
;;;;;
